"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length"
815,544150,"Suárez, Albert",1104,73.8,0.262,0.145,0.302,0.407,0.32,0.327,0.26,45,172,88.6,18.1,2333,92.5,93.18,97,416,399,0.7000000000000028,6.72,112,149,120,148,304,327,296,"3.2","-3.2",69.71298075278104,"6.964002944"
707,519242,"Sale, Chris",1541,45.9,0.268,0.19,0.344,0.458,0.343,0.316,0.248,38,142,90.4,7.6,2216,94.7,94.76,82,348,359,0.09999999999999432,6.51,110,152,119,147,303,323,291,"2.6","-2.6",68.78108834659078,"6.596704502"
978,666142,"Ragans, Cole",1827,53.5,0.224,0.118,0.282,0.342,0.286,0.327,0.261,51,228,90.8,14.2,2530,94.9,94.61,117,495,483,-0.30000000000001137,6.11,111,150,117,148,304,325,291,"13.8","-13.8",70.16998218988562,"6.872869374"
1260,554430,"Wheeler, Zack",1789,70.4,0.207,0.136,0.245,0.343,0.279,0.292,0.216,58,280,86.3,14.6,2396,94.3,95.91,154,651,609,1.6000000000000085,7.22,111,148,115,149,290,321,293,"14.5","-14.5",69.44686256417012,"6.717869356"
309,656641,"Latz, Jacob",632,48.9,0.25,0.162,0.292,0.412,0.35,0.362,0.229,17,68,90,29,2336,94.8,95.09,39,164,145,0.29999999999999716,6.64,115,149,119,150,299,323,296,"-8.7","8.7",70.00454619806115,"6.853217639"
311,679885,"Martinez, Justin",576,54,0.328,0,0.389,0.328,0.345,0.344,0.3,21,64,86.2,-8.2,2100,100.1,100.3,34,143,168,0.20000000000000284,6.52,111,149,119,148,299,315,292,"2.2","-2.2",67.91721541971117,"6.463984928"
1004,682243,"Miller, Bryce",1571,63.9,0.223,0.15,0.262,0.373,0.297,0.36,0.261,52,233,93,15.6,2457,94.8,94.89,124,521,483,0.10000000000000853,6.34,113,148,115,148,294,322,293,"2.8","-2.8",70.94230036701573,"6.926534277"
319,664747,"Díaz, Alexis",571,55.9,0.229,0.063,0.324,0.292,0.359,0.349,0.189,11,48,87.9,26.1,2639,94,96.61,32,134,185,2.5999999999999943,7.68,115,147,118,149,295,319,289,"-4.6","4.6",68.10730679234752,"6.7496975"
559,596133,"Weaver, Luke",765,73.1,0.176,0.168,0.191,0.345,0.26,0.34,0.25,21,119,87,20.1,2461,93.7,92.98,71,297,262,-0.7000000000000028,5.94,114,150,117,151,289,322,287,"9.4","-9.4",67.86673070117732,"6.728326462"
390,676684,"Vest, Will",581,67.1,0.235,0.071,0.299,0.306,0.261,0.291,0.233,20,85,89.8,7.2,2109,95.4,95.18,49,203,187,-0.20000000000000284,6.2,110,148,117,145,299,328,293,"5.3","-5.3",68.94522067951429,"6.503047135"
184,663423,"Thornton, Trent",632,29.1,0.211,0.237,0.208,0.447,0.353,0.413,0.279,8,38,88,8.7,2436,95.2,95.45,23,95,89,0.29999999999999716,6.31,112,149,117,146,295,322,291,"-1.8","1.8",67.6692440308046,"6.64456809"
413,663485,"Sands, Cole",641,64.4,0.2,0.133,0.219,0.333,0.264,0.316,0.23,18,90,89.2,22.5,2335,93.4,92.45,52,215,198,-0.9000000000000057,5.71,111,149,119,150,300,324,292,"9.3","-9.3",69.63593439308715,"6.96822285"
949,669022,"Gore, MacKenzie",1728,54.9,0.289,0.117,0.363,0.406,0.345,0.328,0.27,57,197,87.1,18.8,2321,96.4,97.65,126,518,431,1.2999999999999972,7.01,108,149,116,146,301,321,294,"3.2","-3.2",69.9227187397309,"6.714760247"
